1/52 dev_0_spatial_hash: I=4928, IV=4923, REF=4920, V=4922
2/52 dev_1_spatial_hash: IV=3936, REF=3934, V=3936, I=3934
3/52 dev_2_spatial_hash: REF=4565, V=4544, I=4565, IV=4544
4/52 dev_3_spatial_hash: V=4312, I=4354, IV=4312, REF=4354
5/52 dev_4_spatial_hash: I=4018, IV=3827, REF=4018, V=3827
6/52 dev_5_spatial_hash: IV=5306, REF=5328, V=5306, I=5328
7/52 dev_6_spatial_hash: REF=4884, V=4878, I=4884, IV=4878
8/52 dev_7_spatial_hash: V=4948, I=4966, IV=4948, REF=4966
9/52 dev_8_spatial_hash: I=3860, IV=3845, REF=3683, V=3675
10/52 dev_9_spatial_hash: IV=4472, REF=4480, V=4472, I=4480
11/52 dev_10_spatial_hash: REF=4723, V=4679, I=4723, IV=4679
12/52 dev_11_spatial_hash: V=4256, I=4336, IV=4325, REF=4310
13/52 dev_0_smooth: I=4880, IV=4880, REF=4880, V=4885
14/52 dev_1_smooth: IV=3948, REF=3984, V=3933, I=3954
15/52 dev_2_smooth: REF=4201, V=4231, I=4201, IV=4231
16/52 dev_3_smooth: V=4310, I=4350, IV=4310, REF=4350
17/52 dev_4_smooth: I=4120, IV=4183, REF=4045, V=4109
18/52 dev_5_smooth: IV=5040, REF=5039, V=5040, I=5039
19/52 dev_6_smooth: REF=5104, V=5139, I=4856, IV=4851
20/52 dev_7_smooth: V=4439, I=4472, IV=4439, REF=4472
21/52 dev_8_smooth: I=3780, IV=3690, REF=3780, V=3690
22/52 dev_9_smooth: IV=4796, REF=4816, V=4796, I=4816
23/52 dev_10_smooth: REF=4772, V=4743, I=4797, IV=4783
24/52 dev_11_smooth: V=4538, I=4568, IV=4538, REF=4568
25/52 dev_0_positive: I=5322, IV=5330, REF=5185, V=5200
26/52 dev_1_positive: IV=3993, REF=3712, V=3696, I=3893
27/52 dev_2_positive: REF=4830, V=4784, I=4830, IV=4784
28/52 dev_3_positive: V=4342, I=4304, IV=4342, REF=4304
29/52 dev_4_positive: I=4453, IV=4518, REF=4453, V=4518
30/52 dev_5_positive: IV=4891, REF=4881, V=4891, I=4881
31/52 dev_6_positive: REF=5087, V=5202, I=5087, IV=5202
32/52 dev_7_positive: V=4787, I=4778, IV=4787, REF=4778
33/52 dev_8_positive: I=3853, IV=3877, REF=3687, V=3708
34/52 dev_9_positive: IV=4525, REF=4560, V=4525, I=4560
35/52 dev_10_positive: REF=4192, V=4208, I=4192, IV=4208
36/52 dev_11_positive: V=4682, I=4308, IV=4352, REF=4611
37/52 dev_0_negative: I=5132, IV=5028, REF=5140, V=4997
38/52 dev_1_negative: IV=4054, REF=4055, V=4054, I=4055
39/52 dev_2_negative: REF=4913, V=4869, I=4913, IV=4869
40/52 dev_3_negative: V=4316, I=4424, IV=4316, REF=4424
41/52 dev_4_negative: I=4546, IV=4423, REF=4546, V=4423
42/52 dev_5_negative: IV=5354, REF=5412, V=5354, I=5412
43/52 dev_6_negative: REF=5863, V=5643, I=5863, IV=5643
44/52 dev_7_negative: V=4853, I=4921, IV=4853, REF=4921
45/52 dev_8_negative: I=3569, IV=3468, REF=3569, V=3468
46/52 dev_9_negative: IV=4718, REF=4751, V=4718, I=4751
47/52 dev_10_negative: REF=4876, V=4750, I=4876, IV=4750
48/52 dev_11_negative: V=4518, I=4756, IV=4669, REF=4565
49/52 boundary_minR_16: I=6704, IV=6723, REF=6704, V=6723
50/52 late_channel20_after_ten: IV=3032, REF=2992, V=3032, I=2992
51/52 near_at_origin: REF=3940, V=3919, I=3940, IV=3919
52/52 clustered_16: V=2484, I=2484, IV=2484, REF=2484
