1/12 holdout_40002_negative: P=5580, REF=5580
2/12 holdout_40032_spatial_hash: REF=4805, P=4805
3/12 outer_holdout_50000_positive: P=5297, REF=5297
4/12 structured_dev_5_positive: REF=1396, P=1396
5/12 holdout_110019_negative: P=4264, REF=4269
6/12 holdout_110035_positive: REF=4002, P=4002
7/12 outer_holdout_120008_spatial_hash: P=5150, REF=5150
8/12 outer_holdout_120008_positive: REF=4693, P=4693
9/12 holdout_130023_smooth: P=5514, REF=5514
10/12 holdout_130023_negative: REF=5348, P=5338
11/12 holdout_130011_positive: P=5791, REF=5803
12/12 outer_holdout_140018_negative: REF=5953, P=5947
